filename,path,noise_fn,croissant_count,slipper_count,object_count,lines,artifacts,channel_state
0026.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0026.png,salt_pepper,1.0,1.0,1.0,True,True,darken_channel
0027.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0027.png,none,2.0,1.0,1.0,True,True,lighten_channel
0028.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0028.png,salt_pepper,2.0,1.0,0.0,True,False,normal
0029.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0029.png,salt_pepper,1.0,1.0,0.0,True,False,lighten_channel
0030.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0030.png,gaussian,2.0,2.0,0.0,True,True,lighten_channel
0031.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0031.png,salt_pepper,1.0,2.0,0.0,False,False,lighten_channel
0032.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0032.png,random,2.0,1.0,0.0,False,True,lighten_channel
0033.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0033.png,gaussian,2.0,2.0,0.0,False,True,darken_channel
0034.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0034.png,none,2.0,2.0,1.0,False,False,lighten_channel
0035.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0035.png,salt_pepper,1.0,1.0,0.0,False,False,normal
0036.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0036.png,none,2.0,1.0,1.0,True,False,darken_channel
0037.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0037.png,none,2.0,1.0,0.0,False,True,normal
0038.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0038.png,none,2.0,1.0,1.0,True,True,lighten_channel
0039.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0039.png,gaussian,1.0,2.0,0.0,False,True,normal
0040.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0040.png,gaussian,1.0,2.0,0.0,True,False,lighten_channel
0041.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0041.png,random,1.0,2.0,2.0,True,False,lighten_channel
0042.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0042.png,none,2.0,1.0,0.0,True,False,normal
0043.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0043.png,none,1.0,1.0,1.0,True,True,darken_channel
0044.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0044.png,random,1.0,1.0,0.0,False,False,lighten_channel
0045.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0045.png,none,2.0,1.0,2.0,False,False,darken_channel
0046.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0046.png,random,1.0,2.0,0.0,False,True,lighten_channel
0047.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0047.png,random,2.0,1.0,0.0,True,False,lighten_channel
0048.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0048.png,none,1.0,2.0,0.0,True,True,lighten_channel
0049.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0049.png,salt_pepper,1.0,2.0,0.0,False,False,darken_channel
0050.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0050.png,gaussian,2.0,1.0,1.0,False,False,lighten_channel
0051.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0051.png,salt_pepper,1.0,2.0,0.0,True,False,normal
0052.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0052.png,random,2.0,1.0,1.0,False,True,normal
0053.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0053.png,gaussian,1.0,2.0,0.0,True,False,lighten_channel
0054.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0054.png,none,2.0,1.0,1.0,True,False,normal
0055.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0055.png,salt_pepper,1.0,2.0,0.0,True,False,darken_channel
0056.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0056.png,gaussian,2.0,2.0,0.0,False,True,darken_channel
0057.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0057.png,gaussian,2.0,1.0,2.0,True,False,lighten_channel
0058.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0058.png,random,2.0,2.0,1.0,False,True,lighten_channel
0059.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0059.png,none,1.0,1.0,0.0,True,True,darken_channel
0060.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0060.png,none,1.0,1.0,1.0,False,True,darken_channel
0061.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0061.png,gaussian,1.0,1.0,1.0,False,True,lighten_channel
0062.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0062.png,random,2.0,2.0,1.0,True,True,normal
0063.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0063.png,none,1.0,2.0,0.0,True,False,lighten_channel
0064.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0064.png,random,1.0,1.0,0.0,False,False,darken_channel
0065.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0065.png,gaussian,2.0,1.0,0.0,False,False,lighten_channel
0066.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0066.png,gaussian,2.0,1.0,0.0,False,True,darken_channel
0067.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0067.png,random,1.0,2.0,0.0,False,False,normal
0068.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0068.png,gaussian,2.0,2.0,0.0,False,True,darken_channel
0069.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0069.png,none,2.0,2.0,0.0,True,False,darken_channel
0070.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0070.png,random,1.0,1.0,1.0,True,False,normal
0071.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0071.png,gaussian,1.0,1.0,1.0,True,True,darken_channel
0072.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0072.png,none,1.0,2.0,0.0,False,True,darken_channel
0073.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0073.png,none,2.0,1.0,1.0,True,False,darken_channel
0074.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0074.png,none,1.0,1.0,0.0,True,False,lighten_channel
0075.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0075.png,salt_pepper,2.0,1.0,1.0,True,False,darken_channel
0076.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0076.png,salt_pepper,1.0,1.0,1.0,True,True,lighten_channel
0077.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0077.png,random,1.0,2.0,0.0,False,True,normal
0078.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0078.png,none,1.0,1.0,1.0,True,False,normal
0079.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0079.png,none,1.0,1.0,1.0,True,True,normal
0080.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0080.png,salt_pepper,1.0,1.0,0.0,False,False,darken_channel
0081.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0081.png,gaussian,1.0,2.0,1.0,True,False,lighten_channel
0082.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0082.png,gaussian,1.0,2.0,1.0,False,False,normal
0083.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0083.png,gaussian,2.0,1.0,0.0,False,False,lighten_channel
0084.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0084.png,random,1.0,1.0,0.0,False,True,darken_channel
0085.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0085.png,random,2.0,2.0,1.0,False,False,normal
0086.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0086.png,salt_pepper,2.0,1.0,0.0,False,False,darken_channel
0087.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0087.png,random,1.0,1.0,1.0,False,False,darken_channel
0088.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0088.png,gaussian,1.0,2.0,1.0,True,True,lighten_channel
0089.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0089.png,gaussian,1.0,1.0,0.0,True,True,lighten_channel
0090.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0090.png,gaussian,1.0,1.0,2.0,False,False,lighten_channel
0091.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0091.png,none,1.0,1.0,0.0,True,False,normal
0092.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0092.png,random,1.0,2.0,1.0,False,False,darken_channel
0093.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0093.png,none,1.0,2.0,1.0,True,False,darken_channel
0094.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0094.png,random,2.0,2.0,0.0,True,False,lighten_channel
0095.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0095.png,random,1.0,1.0,0.0,True,True,normal
0096.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0096.png,gaussian,2.0,2.0,1.0,True,True,darken_channel
0097.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0097.png,gaussian,1.0,1.0,0.0,True,False,normal
0098.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0098.png,random,1.0,1.0,2.0,False,False,lighten_channel
0099.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0099.png,none,2.0,2.0,0.0,False,False,lighten_channel
0100.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0100.png,salt_pepper,1.0,1.0,0.0,False,False,normal
0101.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0101.png,random,2.0,2.0,1.0,True,True,normal
0102.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0102.png,random,2.0,2.0,0.0,True,False,darken_channel
0103.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0103.png,salt_pepper,1.0,2.0,1.0,True,False,lighten_channel
0104.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0104.png,random,2.0,2.0,1.0,True,False,normal
0105.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0105.png,random,2.0,2.0,0.0,True,True,normal
0106.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0106.png,gaussian,2.0,1.0,2.0,True,True,darken_channel
0107.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0107.png,gaussian,2.0,1.0,1.0,False,True,normal
0108.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0108.png,random,1.0,2.0,2.0,True,True,normal
0109.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0109.png,salt_pepper,0.0,1.0,0.0,True,True,darken_channel
0110.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0110.png,random,1.0,2.0,0.0,False,True,lighten_channel
0111.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0111.png,none,1.0,2.0,0.0,False,True,normal
0112.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0112.png,salt_pepper,2.0,2.0,0.0,True,True,lighten_channel
0113.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0113.png,gaussian,1.0,1.0,1.0,False,True,lighten_channel
0114.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0114.png,random,2.0,2.0,0.0,False,False,darken_channel
0115.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0115.png,none,1.0,2.0,0.0,False,False,lighten_channel
0116.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0116.png,gaussian,2.0,1.0,1.0,True,True,lighten_channel
0117.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0117.png,gaussian,1.0,1.0,2.0,False,False,darken_channel
0118.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0118.png,random,1.0,1.0,1.0,False,False,normal
0119.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0119.png,random,1.0,2.0,0.0,True,True,darken_channel
0120.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0120.png,gaussian,1.0,2.0,0.0,True,True,lighten_channel
0121.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0121.png,gaussian,1.0,1.0,1.0,False,False,normal
0122.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0122.png,random,1.0,2.0,0.0,False,True,lighten_channel
0123.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0123.png,random,1.0,2.0,1.0,False,False,lighten_channel
0124.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0124.png,none,1.0,1.0,0.0,False,True,darken_channel
0125.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0125.png,none,2.0,1.0,2.0,False,False,darken_channel
0126.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0126.png,none,1.0,2.0,1.0,False,False,darken_channel
0127.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0127.png,random,1.0,1.0,1.0,False,False,normal
0128.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0128.png,none,1.0,1.0,1.0,True,True,normal
0129.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0129.png,gaussian,2.0,1.0,0.0,True,True,darken_channel
0130.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0130.png,random,2.0,2.0,1.0,False,False,normal
0131.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0131.png,gaussian,2.0,1.0,0.0,True,False,lighten_channel
0132.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0132.png,random,1.0,2.0,0.0,True,False,lighten_channel
0133.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0133.png,salt_pepper,1.0,1.0,0.0,False,True,lighten_channel
0134.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0134.png,salt_pepper,2.0,1.0,0.0,False,True,normal
0135.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0135.png,none,2.0,1.0,0.0,False,False,darken_channel
0136.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0136.png,salt_pepper,1.0,1.0,0.0,False,True,darken_channel
0137.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0137.png,random,2.0,2.0,1.0,True,True,normal
0138.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0138.png,none,1.0,2.0,2.0,False,True,normal
0139.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0139.png,salt_pepper,1.0,2.0,0.0,False,False,darken_channel
0140.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0140.png,random,1.0,1.0,1.0,False,False,normal
0141.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0141.png,gaussian,2.0,2.0,1.0,True,False,lighten_channel
0142.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0142.png,salt_pepper,2.0,1.0,1.0,True,False,lighten_channel
0143.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0143.png,gaussian,1.0,2.0,1.0,True,False,normal
0144.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0144.png,none,1.0,1.0,2.0,True,True,lighten_channel
0145.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0145.png,random,2.0,2.0,1.0,True,True,lighten_channel
0146.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0146.png,gaussian,1.0,1.0,0.0,True,True,lighten_channel
0147.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0147.png,none,1.0,1.0,1.0,True,True,normal
0148.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0148.png,random,2.0,1.0,0.0,True,False,darken_channel
0149.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0149.png,gaussian,2.0,2.0,1.0,False,False,darken_channel
0150.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0150.png,salt_pepper,1.0,2.0,0.0,False,False,lighten_channel
0151.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0151.png,gaussian,2.0,1.0,0.0,True,False,normal
0152.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0152.png,salt_pepper,1.0,1.0,1.0,False,False,darken_channel
0153.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0153.png,salt_pepper,1.0,1.0,0.0,False,False,lighten_channel
0154.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0154.png,salt_pepper,2.0,1.0,1.0,True,True,normal
0155.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0155.png,none,1.0,2.0,1.0,True,False,darken_channel
0156.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0156.png,gaussian,1.0,1.0,1.0,False,False,darken_channel
0157.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0157.png,none,1.0,2.0,1.0,False,True,darken_channel
0158.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0158.png,salt_pepper,1.0,2.0,0.0,False,False,lighten_channel
0159.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0159.png,none,2.0,2.0,1.0,True,True,lighten_channel
0160.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0160.png,salt_pepper,1.0,2.0,1.0,True,False,lighten_channel
0161.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0161.png,random,1.0,1.0,0.0,False,True,lighten_channel
0162.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0162.png,gaussian,2.0,2.0,0.0,True,False,normal
0163.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0163.png,gaussian,2.0,2.0,0.0,False,True,darken_channel
0164.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0164.png,none,2.0,1.0,2.0,False,True,normal
0165.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0165.png,gaussian,1.0,2.0,1.0,True,False,darken_channel
0166.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0166.png,random,1.0,1.0,0.0,True,True,normal
0167.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0167.png,salt_pepper,2.0,1.0,1.0,False,True,lighten_channel
0168.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0168.png,gaussian,1.0,1.0,1.0,False,False,lighten_channel
0169.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0169.png,salt_pepper,1.0,1.0,0.0,True,True,darken_channel
0170.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0170.png,none,2.0,1.0,1.0,True,True,normal
0171.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0171.png,gaussian,2.0,1.0,0.0,False,False,lighten_channel
0172.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0172.png,random,1.0,2.0,0.0,False,False,darken_channel
0173.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0173.png,salt_pepper,2.0,1.0,1.0,False,False,lighten_channel
0174.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0174.png,salt_pepper,2.0,1.0,1.0,True,False,darken_channel
0175.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0175.png,none,1.0,2.0,0.0,False,True,darken_channel
0176.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0176.png,gaussian,1.0,1.0,0.0,True,True,darken_channel
0177.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0177.png,salt_pepper,2.0,1.0,0.0,False,False,normal
0178.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0178.png,salt_pepper,1.0,2.0,0.0,True,True,lighten_channel
0179.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0179.png,none,2.0,1.0,0.0,False,True,normal
0180.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0180.png,salt_pepper,2.0,2.0,0.0,False,False,lighten_channel
0181.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0181.png,random,1.0,1.0,0.0,True,True,lighten_channel
0182.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0182.png,gaussian,2.0,1.0,0.0,True,False,normal
0183.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0183.png,none,1.0,2.0,0.0,False,True,normal
0184.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0184.png,none,1.0,2.0,0.0,False,False,lighten_channel
0185.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0185.png,salt_pepper,1.0,2.0,1.0,True,True,normal
0186.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0186.png,gaussian,2.0,1.0,1.0,False,False,normal
0187.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0187.png,gaussian,1.0,2.0,1.0,False,False,lighten_channel
0188.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0188.png,salt_pepper,1.0,1.0,0.0,True,True,normal
0189.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0189.png,none,2.0,0.0,1.0,False,True,normal
0190.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0190.png,gaussian,1.0,2.0,0.0,True,False,lighten_channel
0191.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0191.png,salt_pepper,1.0,2.0,0.0,False,True,lighten_channel
0192.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0192.png,gaussian,2.0,2.0,0.0,True,True,normal
0193.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0193.png,gaussian,1.0,2.0,2.0,True,False,darken_channel
0194.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0194.png,gaussian,2.0,1.0,0.0,True,False,lighten_channel
0195.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0195.png,salt_pepper,2.0,2.0,0.0,True,False,lighten_channel
0196.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0196.png,random,1.0,2.0,1.0,True,False,darken_channel
0197.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0197.png,salt_pepper,2.0,2.0,0.0,True,False,darken_channel
0198.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0198.png,none,2.0,2.0,0.0,False,True,normal
0199.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0199.png,none,2.0,1.0,1.0,False,False,normal
0200.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0200.png,salt_pepper,1.0,2.0,2.0,False,False,normal
0201.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0201.png,none,1.0,1.0,1.0,True,False,darken_channel
0202.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0202.png,gaussian,2.0,2.0,0.0,False,False,lighten_channel
0203.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0203.png,gaussian,2.0,2.0,0.0,True,True,darken_channel
0204.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0204.png,salt_pepper,1.0,1.0,1.0,True,False,darken_channel
0205.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0205.png,salt_pepper,2.0,2.0,0.0,False,False,darken_channel
0206.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0206.png,gaussian,2.0,2.0,0.0,False,False,normal
0207.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0207.png,salt_pepper,2.0,2.0,1.0,True,True,normal
0208.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0208.png,none,1.0,1.0,0.0,False,True,darken_channel
0209.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0209.png,none,2.0,1.0,1.0,True,True,normal
0210.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0210.png,none,2.0,1.0,0.0,True,True,normal
0211.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0211.png,salt_pepper,2.0,1.0,1.0,False,False,lighten_channel
0212.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0212.png,none,2.0,2.0,0.0,False,True,normal
0213.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0213.png,none,2.0,2.0,1.0,False,False,darken_channel
0214.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0214.png,salt_pepper,1.0,1.0,1.0,False,False,normal
0215.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0215.png,random,2.0,1.0,2.0,False,False,normal
0216.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0216.png,none,1.0,2.0,1.0,True,False,normal
0217.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0217.png,gaussian,2.0,1.0,1.0,False,False,darken_channel
0218.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0218.png,gaussian,2.0,2.0,0.0,False,False,normal
0219.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0219.png,none,2.0,1.0,0.0,True,False,normal
0220.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0220.png,salt_pepper,1.0,1.0,0.0,False,False,normal
0221.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0221.png,random,1.0,2.0,0.0,False,False,lighten_channel
0222.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0222.png,random,1.0,1.0,1.0,False,False,normal
