filename,path,noise_fn,croissant_count,slipper_count,object_count,lines,artifacts
0040.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0040.png,gaussian,3.0,4.0,4.0,False,True
0041.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0041.png,random,4.0,4.0,3.0,False,True
0042.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0042.png,none,4.0,4.0,3.0,True,True
0043.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0043.png,random,3.0,3.0,3.0,False,True
0044.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0044.png,random,3.0,4.0,4.0,True,False
0045.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0045.png,none,3.0,3.0,4.0,False,True
0046.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0046.png,salt_pepper,3.0,4.0,3.0,False,False
0047.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0047.png,gaussian,4.0,4.0,2.0,False,True
0048.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0048.png,gaussian,3.0,3.0,4.0,False,False
0049.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0049.png,salt_pepper,3.0,3.0,4.0,True,False
0050.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0050.png,none,3.0,4.0,3.0,False,False
0051.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0051.png,random,3.0,3.0,3.0,True,False
0052.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0052.png,none,3.0,3.0,3.0,False,True
0053.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0053.png,random,4.0,3.0,3.0,True,False
0054.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0054.png,salt_pepper,4.0,4.0,2.0,True,False
0055.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0055.png,random,4.0,4.0,3.0,True,False
0056.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0056.png,gaussian,3.0,3.0,4.0,False,False
0057.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0057.png,none,3.0,3.0,4.0,False,True
0058.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0058.png,random,4.0,3.0,4.0,True,True
0059.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0059.png,gaussian,4.0,3.0,3.0,True,True
0060.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0060.png,none,3.0,3.0,3.0,False,False
0061.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0061.png,none,4.0,3.0,4.0,True,False
0062.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0062.png,gaussian,4.0,4.0,3.0,True,False
0063.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0063.png,gaussian,4.0,4.0,4.0,True,False
0064.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0064.png,gaussian,3.0,3.0,3.0,False,False
0065.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0065.png,salt_pepper,4.0,4.0,3.0,True,True
0066.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0066.png,none,3.0,4.0,3.0,False,False
0067.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0067.png,none,3.0,3.0,3.0,False,False
0068.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0068.png,salt_pepper,3.0,3.0,3.0,True,True
0069.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0069.png,salt_pepper,3.0,4.0,3.0,True,True
0070.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0070.png,none,3.0,3.0,4.0,False,False
0071.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0071.png,none,3.0,4.0,3.0,False,True
0072.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0072.png,gaussian,4.0,3.0,2.0,False,False
0073.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0073.png,none,3.0,4.0,4.0,False,True
0074.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0074.png,gaussian,4.0,3.0,3.0,True,True
0075.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0075.png,none,4.0,4.0,3.0,False,False
0076.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0076.png,gaussian,4.0,4.0,3.0,True,True
0077.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0077.png,gaussian,4.0,3.0,2.0,True,False
0078.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0078.png,random,3.0,4.0,4.0,False,True
0079.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0079.png,salt_pepper,4.0,4.0,4.0,True,False
0080.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0080.png,gaussian,4.0,3.0,3.0,False,True
0081.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0081.png,none,3.0,3.0,4.0,False,True
0082.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0082.png,gaussian,3.0,3.0,3.0,True,False
0083.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0083.png,random,4.0,4.0,4.0,False,True
0084.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0084.png,random,4.0,3.0,3.0,False,True
0085.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0085.png,none,4.0,3.0,3.0,False,True
0086.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0086.png,none,4.0,2.0,3.0,True,False
0087.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0087.png,gaussian,4.0,3.0,4.0,False,False
0088.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0088.png,none,4.0,3.0,3.0,False,True
0089.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0089.png,gaussian,3.0,3.0,3.0,True,True
0090.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0090.png,random,4.0,4.0,4.0,True,False
0091.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0091.png,salt_pepper,3.0,4.0,4.0,True,True
0092.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0092.png,salt_pepper,4.0,3.0,3.0,True,False
0093.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0093.png,random,3.0,4.0,4.0,True,False
0094.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0094.png,gaussian,2.0,4.0,3.0,True,False
0095.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0095.png,gaussian,3.0,4.0,4.0,False,True
0096.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0096.png,gaussian,3.0,4.0,4.0,False,False
0097.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0097.png,salt_pepper,4.0,4.0,3.0,True,False
0098.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0098.png,none,3.0,4.0,4.0,False,True
0099.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0099.png,salt_pepper,3.0,4.0,3.0,True,False
0100.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0100.png,random,3.0,4.0,4.0,True,False
0101.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0101.png,gaussian,4.0,4.0,3.0,True,True
0102.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0102.png,random,3.0,4.0,4.0,False,True
0103.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0103.png,none,4.0,4.0,4.0,True,True
0104.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0104.png,gaussian,3.0,4.0,4.0,False,True
0105.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0105.png,salt_pepper,3.0,4.0,3.0,False,True
0106.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0106.png,gaussian,4.0,3.0,4.0,True,True
0107.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0107.png,random,4.0,3.0,2.0,False,False
0108.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0108.png,none,3.0,4.0,3.0,True,True
0109.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0109.png,none,3.0,4.0,3.0,False,True
0110.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0110.png,random,3.0,4.0,4.0,False,True
0111.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0111.png,none,3.0,3.0,3.0,False,True
0112.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0112.png,gaussian,3.0,4.0,3.0,False,False
0113.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0113.png,salt_pepper,3.0,3.0,3.0,False,True
0114.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0114.png,salt_pepper,3.0,3.0,4.0,True,True
0115.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0115.png,random,4.0,4.0,2.0,True,True
0116.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0116.png,salt_pepper,4.0,4.0,4.0,True,True
0117.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0117.png,salt_pepper,4.0,4.0,3.0,True,True
0118.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0118.png,random,4.0,3.0,2.0,True,False
0119.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0119.png,gaussian,4.0,3.0,3.0,False,True
0120.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0120.png,gaussian,3.0,3.0,4.0,True,False
0121.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0121.png,none,3.0,3.0,4.0,False,False
0122.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0122.png,gaussian,3.0,4.0,4.0,False,True
0123.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0123.png,random,3.0,4.0,4.0,False,True
0124.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0124.png,random,3.0,3.0,4.0,True,True
0125.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0125.png,salt_pepper,3.0,4.0,3.0,False,True
0126.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0126.png,random,3.0,3.0,3.0,False,False
0127.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0127.png,salt_pepper,4.0,3.0,4.0,False,False
0128.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0128.png,none,3.0,3.0,4.0,True,True
0129.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0129.png,random,4.0,3.0,4.0,True,True
0130.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0130.png,salt_pepper,4.0,3.0,3.0,False,True
0131.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0131.png,none,2.0,4.0,3.0,False,False
0132.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0132.png,none,4.0,3.0,3.0,True,False
0133.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0133.png,none,3.0,4.0,3.0,False,False
0134.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0134.png,none,3.0,3.0,4.0,False,True
0135.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0135.png,random,4.0,4.0,3.0,True,True
0136.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0136.png,salt_pepper,4.0,3.0,3.0,True,False
0137.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0137.png,gaussian,4.0,3.0,3.0,False,True
0138.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0138.png,salt_pepper,4.0,3.0,3.0,True,True
0139.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0139.png,none,3.0,4.0,4.0,False,False
0140.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0140.png,salt_pepper,3.0,4.0,3.0,True,True
0141.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0141.png,none,3.0,4.0,4.0,False,True
0142.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0142.png,gaussian,3.0,3.0,4.0,True,False
0143.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0143.png,none,3.0,3.0,3.0,True,False
0144.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0144.png,random,4.0,3.0,3.0,True,True
0145.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0145.png,salt_pepper,4.0,3.0,3.0,True,False
0146.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0146.png,salt_pepper,3.0,4.0,4.0,True,True
0147.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0147.png,salt_pepper,3.0,3.0,3.0,True,True
0148.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0148.png,salt_pepper,4.0,2.0,3.0,True,False
0149.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0149.png,random,4.0,3.0,3.0,True,True
0150.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0150.png,gaussian,4.0,3.0,3.0,False,True
0151.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0151.png,salt_pepper,4.0,3.0,3.0,False,False
0152.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0152.png,random,2.0,3.0,3.0,False,False
0153.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0153.png,none,3.0,3.0,3.0,True,False
0154.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0154.png,gaussian,4.0,3.0,3.0,True,True
0155.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0155.png,random,3.0,3.0,4.0,False,False
0156.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0156.png,none,3.0,3.0,3.0,True,True
0157.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0157.png,none,4.0,3.0,4.0,True,True
0158.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0158.png,none,3.0,3.0,3.0,True,True
0159.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0159.png,salt_pepper,2.0,3.0,3.0,False,False
0160.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0160.png,salt_pepper,3.0,4.0,4.0,False,False
0161.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0161.png,gaussian,3.0,4.0,4.0,False,True
0162.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0162.png,random,4.0,4.0,4.0,True,True
0163.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0163.png,random,3.0,4.0,4.0,False,True
0164.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0164.png,random,4.0,4.0,3.0,False,False
0165.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0165.png,gaussian,3.0,3.0,4.0,False,False
0166.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0166.png,random,3.0,3.0,3.0,True,False
0167.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0167.png,random,3.0,4.0,4.0,False,False
0168.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0168.png,none,3.0,4.0,4.0,False,True
0169.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0169.png,random,2.0,4.0,3.0,False,True
0170.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0170.png,gaussian,4.0,4.0,3.0,False,False
0171.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0171.png,salt_pepper,4.0,4.0,3.0,False,True
0172.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0172.png,none,4.0,4.0,3.0,False,False
0173.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0173.png,gaussian,3.0,3.0,2.0,True,False
0174.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0174.png,random,4.0,4.0,2.0,False,False
0175.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0175.png,random,3.0,3.0,4.0,False,True
0176.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0176.png,salt_pepper,4.0,4.0,2.0,False,True
0177.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0177.png,gaussian,3.0,3.0,3.0,True,True
0178.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0178.png,salt_pepper,3.0,4.0,4.0,True,False
0179.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0179.png,gaussian,3.0,3.0,4.0,True,False
0180.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0180.png,gaussian,4.0,4.0,3.0,True,False
0181.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0181.png,random,4.0,3.0,3.0,False,False
0182.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0182.png,salt_pepper,4.0,3.0,3.0,False,True
0183.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0183.png,gaussian,3.0,3.0,4.0,True,True
0184.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0184.png,random,3.0,3.0,4.0,True,False
0185.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0185.png,random,4.0,3.0,4.0,True,False
0186.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0186.png,gaussian,3.0,3.0,3.0,False,True
0187.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0187.png,gaussian,2.0,4.0,4.0,True,True
0188.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0188.png,random,3.0,3.0,3.0,False,True
0189.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0189.png,gaussian,2.0,3.0,2.0,False,False
0190.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0190.png,salt_pepper,4.0,3.0,3.0,True,True
0191.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0191.png,gaussian,3.0,3.0,3.0,False,True
0192.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0192.png,gaussian,4.0,4.0,3.0,True,True
0193.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0193.png,none,3.0,3.0,4.0,True,True
0194.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0194.png,random,3.0,4.0,3.0,False,True
0195.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0195.png,gaussian,3.0,4.0,3.0,True,False
0196.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0196.png,salt_pepper,3.0,3.0,3.0,True,True
0197.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0197.png,none,3.0,4.0,4.0,False,True
0198.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0198.png,random,4.0,4.0,4.0,False,True
0199.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0199.png,gaussian,3.0,3.0,3.0,True,False
0200.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0200.png,none,3.0,3.0,3.0,False,True
0201.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0201.png,random,3.0,3.0,3.0,False,False
0202.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0202.png,gaussian,3.0,3.0,3.0,True,False
0203.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0203.png,gaussian,4.0,3.0,3.0,True,False
0204.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0204.png,gaussian,4.0,3.0,2.0,False,False
0205.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0205.png,gaussian,4.0,3.0,4.0,False,True
0206.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0206.png,random,4.0,4.0,4.0,False,False
0207.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0207.png,none,4.0,4.0,4.0,False,True
0208.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0208.png,random,3.0,4.0,3.0,False,False
0209.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0209.png,none,3.0,4.0,4.0,True,False
0210.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0210.png,random,3.0,3.0,3.0,True,True
0211.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0211.png,gaussian,4.0,3.0,4.0,True,True
0212.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0212.png,salt_pepper,3.0,4.0,4.0,False,True
0213.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0213.png,none,4.0,4.0,4.0,False,False
0214.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0214.png,random,3.0,4.0,3.0,True,True
0215.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0215.png,random,4.0,4.0,3.0,False,True
0216.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0216.png,salt_pepper,4.0,3.0,4.0,True,True
0217.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0217.png,gaussian,3.0,4.0,3.0,False,False
0218.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0218.png,salt_pepper,4.0,4.0,2.0,False,False
0219.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0219.png,random,3.0,3.0,3.0,False,False
0220.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0220.png,none,3.0,3.0,3.0,False,False
0221.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0221.png,random,3.0,4.0,3.0,True,True
0222.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0222.png,salt_pepper,4.0,3.0,2.0,True,False
0223.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0223.png,salt_pepper,4.0,3.0,3.0,False,False
0224.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0224.png,random,3.0,4.0,3.0,False,False
0225.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0225.png,salt_pepper,3.0,4.0,3.0,False,True
0226.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0226.png,salt_pepper,3.0,3.0,4.0,True,False
0227.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0227.png,salt_pepper,4.0,3.0,3.0,True,True
0228.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0228.png,salt_pepper,3.0,3.0,4.0,True,False
0229.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0229.png,none,4.0,3.0,3.0,False,False
0230.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0230.png,none,3.0,3.0,3.0,True,False
0231.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0231.png,salt_pepper,4.0,3.0,4.0,False,False
0232.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0232.png,random,3.0,3.0,3.0,False,True
0233.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0233.png,random,3.0,4.0,3.0,False,True
0234.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0234.png,salt_pepper,3.0,3.0,4.0,False,True
0235.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0235.png,random,3.0,4.0,3.0,True,False
0236.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0236.png,gaussian,3.0,3.0,4.0,False,True
0237.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0237.png,random,3.0,3.0,4.0,False,True
0238.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0238.png,salt_pepper,3.0,4.0,3.0,True,False
0239.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0239.png,salt_pepper,3.0,3.0,4.0,True,False
0240.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0240.png,random,3.0,3.0,3.0,True,True
0241.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0241.png,salt_pepper,3.0,4.0,4.0,False,False
0242.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0242.png,gaussian,3.0,4.0,4.0,False,False
0243.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0243.png,none,4.0,3.0,2.0,True,False
0244.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0244.png,none,4.0,4.0,3.0,True,False
0245.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0245.png,gaussian,3.0,4.0,2.0,True,False
0246.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0246.png,random,3.0,3.0,4.0,False,False
0247.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0247.png,random,3.0,4.0,3.0,True,True
0248.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0248.png,none,4.0,4.0,3.0,True,True
